["I+","RIGHT"]
["I-","RIGHT"]
["LO","TOP"]
["Q+","LEFT"]
["Q-","LEFT"]
["Signal1","BOTTOM"]
["Signal2","BOTTOM"]
("Signal1","mode 1",1,"Signal1",1,"transmission")
(102, 3)
1.9156067603833869e+14 7.0105193604659026e-03 2.4304060768897249e+00
1.9160493974508816e+14 7.3384516827451098e-03 2.5286314945463317e+00
1.9164920345183762e+14 7.6767348612983895e-03 2.6280533814307958e+00
1.9169346715858709e+14 8.0217679548505658e-03 2.7286743150332522e+00
1.9173773086533656e+14 8.3698176022427868e-03 2.8304506086877503e+00
1.9178199457208603e+14 8.7170887430181743e-03 2.9333041991184738e+00
1.9182625827883550e+14 9.0597917615243394e-03 3.0371327648998734e+00
1.9187052198558497e+14 9.3942052431986341e-03 3.1418179234612293e+00
1.9191478569233444e+14 9.7167338896427483e-03 3.2472315987098019e+00
1.9195904939908391e+14 1.0023961336997128e-02 3.3532407812092009e+00
1.9200331310583334e+14 1.0312697719772255e-02 3.4597109530352621e+00
1.9204757681258281e+14 1.0580021865685445e-02 3.5665084505588522e+00
1.9209184051933228e+14 1.0823318027085999e-02 3.6735020134382492e+00
1.9213610422608175e+14 1.1040307069336681e-02 3.7805637324080608e+00
1.9218036793283122e+14 1.1229072054964061e-02 3.8875695712714968e+00
1.9222463163958069e+14 1.1388078187416531e-02 3.9943996048095802e+00
1.9226889534633016e+14 1.1516187109027430e-02 4.1009380863369946e+00
1.9231315905307962e+14 1.1612665581565221e-02 4.2070734369191456e+00
1.9235742275982909e+14 1.1677188611114395e-02 4.3126982325663450e+00
1.9240168646657856e+14 1.1709837108305107e-02 4.4177092553110269e+00
1.9244595017332803e+14 1.1711090196887217e-02 4.5220076680862036e+00
1.9249021388007750e+14 1.1681812296113207e-02 4.6254993707703331e+00
1.9253447758682697e+14 1.1623235104130242e-02 4.7280955945884084e+00
1.9257874129357644e+14 1.1536934601233392e-02 4.8297137930276186e+00
1.9262300500032591e+14 1.1424803176086060e-02 4.9302788881047084e+00
1.9266726870707538e+14 1.1289016960327948e-02 5.0297249293862958e+00
