["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(500, 3)
1.9156067603833869e+14 7.9654718110870361e-03 -1.9357251073061754e+00
1.9156945781583006e+14 8.0371525528641803e-03 -1.9180670105145352e+00
1.9157823959332144e+14 8.1085131216465031e-03 -1.9004975809514919e+00
1.9158702137081281e+14 8.1795418534383151e-03 -1.8830139888148445e+00
1.9159580314830419e+14 8.2502273224304111e-03 -1.8656135051083116e+00
1.9160458492579556e+14 8.3205583319483755e-03 -1.8482934974820926e+00
1.9161336670328694e+14 8.3905239059236091e-03 -1.8310514262475890e+00
1.9162214848077834e+14 8.4601132808441743e-03 -1.8138848405615775e+00
1.9163093025826972e+14 8.5293158981631888e-03 -1.7967913747727648e+00
1.9163971203576109e+14 8.5981213971295985e-03 -1.7797687449240922e+00
1.9164849381325247e+14 8.6665196080368320e-03 -1.7628147454054961e+00
1.9165727559074384e+14 8.7345005458444626e-03 -1.7459272457498163e+00
1.9166605736823522e+14 8.8020544041690976e-03 -1.7291041875670952e+00
1.9167483914572659e+14 8.8691715496148592e-03 -1.7123435816106989e+00
1.9168362092321797e+14 8.9358425164246524e-03 -1.6956435049697531e+00
1.9169240270070934e+14 9.0020580014425929e-03 -1.6790020983830036e+00
1.9170118447820072e+14 9.0678088593546674e-03 -1.6624175636678544e+00
1.9170996625569209e+14 9.1330860982195318e-03 -1.6458881612601708e+00
1.9171874803318347e+14 9.1978808752291603e-03 -1.6294122078604167e+00
1.9172752981067484e+14 9.2621844927486714e-03 -1.6129880741801890e+00
1.9173631158816622e+14 9.3259883945534233e-03 -1.5966141827852491e+00
1.9174509336565762e+14 9.3892841623027506e-03 -1.5802890060313362e+00
1.9175387514314900e+14 9.4520635122120004e-03 -1.5640110640878893e+00
1.9176265692064038e+14 9.5143182919249225e-03 -1.5477789230443992e+00
1.9177143869813175e+14 9.5760404775650353e-03 -1.5315911930995245e+00
1.9178022047562312e+14 9.6372221709588347e-03 -1.5154465268245250e+00
1.9178900225311450e+14 9.6978555970356536e-03 -1.4993436175004562e+00
1.9179778403060588e+14 9.7579331013709185e-03 -1.4832811975257938e+00
1.9180656580809725e+14 9.8174471478824840e-03 -1.4672580368895687e+00
1.9181534758558862e+14 9.8763903166697344e-03 -1.4512729417082522e+00
1.9182412936308000e+14 9.9347553019762391e-03 -1.4353247528233339e+00
1.9183291114057138e+14 9.9925349102903925e-03 -1.4194123444567404e+00
1.9184169291806275e+14 1.0049722058552396e-02 -1.4035346229211592e+00
1.9185047469555412e+14 1.0106309772482863e-02 -1.3876905253830047e+00
1.9185925647304550e+14 1.0162291185012440e-02 -1.3718790186754348e+00
1.9186803825053691e+14 1.0217659534814551e-02 -1.3560990981596099e+00
1.9187682002802828e+14 1.0272408164940797e-02 -1.3403497866311767e+00
1.9188560180551966e+14 1.0326530521528503e-02 -1.3246301332707395e+00
1.9189438358301103e+14 1.0380020152618389e-02 -1.3089392126353903e+00
1.9190316536050241e+14 1.0432870707032723e-02 -1.2932761236906600e+00
1.9191194713799378e+14 1.0485075933345566e-02 -1.2776399888797796e+00
1.9192072891548516e+14 1.0536629678920556e-02 -1.2620299532287598e+00
1.9192951069297653e+14 1.0587525889012473e-02 -1.2464451834872978e+00
1.9193829247046791e+14 1.0637758605948089e-02 -1.2308848673014989e+00
1.9194707424795928e+14 1.0687321968361294e-02 -1.2153482124175736e+00
1.9195585602545066e+14 1.0736210210485996e-02 -1.1998344459173698e+00
1.9196463780294203e+14 1.0784417661507039e-02 -1.1843428134800944e+00
1.9197341958043341e+14 1.0831938744972420e-02 -1.1688725786742207e+00
1.9198220135792478e+14 1.0878767978242115e-02 -1.1534230222727875e+00
1.9199098313541619e+14 1.0924899971998478e-02 -1.1379934415955173e+00
1.9199976491290756e+14 1.0970329429787673e-02 -1.1225831498733070e+00
1.9200854669039894e+14 1.1015051147624499e-02 -1.1071914756369940e+00
1.9201732846789031e+14 1.1059060013618208e-02 -1.0918177621260845e+00
1.9202611024538169e+14 1.1102351007650006e-02 -1.0764613667196621e+00
1.9203489202287306e+14 1.1144919201077181e-02 -1.0611216603863964e+00
1.9204367380036444e+14 1.1186759756491161e-02 -1.0457980271530201e+00
1.9205245557785581e+14 1.1227867927483950e-02 -1.0304898635918633e+00
1.9206123735534719e+14 1.1268239058464786e-02 -1.0151965783248800e+00
1.9207001913283856e+14 1.1307868584498143e-02 -9.9991759154393833e-01
1.9207880091032994e+14 1.1346752031176330e-02 -9.8465233454747558e-01
1.9208758268782131e+14 1.1384885014509554e-02 -9.6940024929133495e-01
1.9209636446531269e+14 1.1422263240853577e-02 -9.5416078795473647e-01
1.9210514624280406e+14 1.1458882506850759e-02 -9.3893341251923090e-01
1.9211392802029547e+14 1.1494738699400882e-02 -9.2371759436041290e-01
1.9212270979778684e+14 1.1529827795654693e-02 -9.0851281385335558e-01
1.9213149157527822e+14 1.1564145863018724e-02 -8.9331855998779408e-01
1.9214027335276959e+14 1.1597689059194201e-02 -8.7813432999723406e-01
1.9214905513026097e+14 1.1630453632218001e-02 -8.6295962899587764e-01
1.9215783690775234e+14 1.1662435920538840e-02 -8.4779396962826992e-01
1.9216661868524372e+14 1.1693632353096178e-02 -8.3263687172702372e-01
1.9217540046273509e+14 1.1724039449422323e-02 -8.1748786198083312e-01
1.9218418224022647e+14 1.1753653819758399e-02 -8.0234647361127320e-01
1.9219296401771784e+14 1.1782472165180052e-02 -7.8721224605678719e-01
1.9220174579520922e+14 1.1810491277748305e-02 -7.7208472466649747e-01
1.9221052757270059e+14 1.1837708040655436e-02 -7.5696346040021512e-01
1.9221930935019197e+14 1.1864119428403439e-02 -7.4184800953611729e-01
1.9222809112768334e+14 1.1889722506977490e-02 -7.2673793338564019e-01
1.9223687290517475e+14 1.1914514434039425e-02 -7.1163279801411494e-01
1.9224565468266612e+14 1.1938492459130845e-02 -6.9653217396814804e-01
1.9225443646015750e+14 1.1961653923881824e-02 -6.8143563600803514e-01
1.9226321823764888e+14 1.1983996262232798e-02 -6.6634276284692318e-01
1.9227200001514025e+14 1.2005517000666821e-02 -6.5125313689386599e-01
1.9228078179263162e+14 1.2026213758448114e-02 -6.3616634400229166e-01
1.9228956357012300e+14 1.2046084247866642e-02 -6.2108197322320047e-01
1.9229834534761438e+14 1.2065126274494343e-02 -6.0599961656201262e-01
1.9230712712510575e+14 1.2083337737449049e-02 -5.9091886874033628e-01
1.9231590890259712e+14 1.2100716629665715e-02 -5.7583932696068707e-01
1.9232469068008850e+14 1.2117261038168093e-02 -5.6076059067507034e-01
1.9233347245757988e+14 1.2132969144356910e-02 -5.4568226135647768e-01
1.9234225423507125e+14 1.2147839224296578e-02 -5.3060394227362884e-01
1.9235103601256262e+14 1.2161869649015167e-02 -5.1552523826870789e-01
1.9235981779005403e+14 1.2175058884804539e-02 -5.0044575553701665e-01
1.9236859956754541e+14 1.2187405493527882e-02 -4.8536510140865602e-01
1.9237738134503678e+14 1.2198908132933657e-02 -4.7028288413363201e-01
1.9238616312252816e+14 1.2209565556977005e-02 -4.5519871266716866e-01
