["port 1","BOTTOM"]
["port 2","LEFT"]
("port 2","mode 1",1,"port 2",1,"transmission")
(100, 3)
1.9156067603833869e+14 1.5301639336258133e-03 2.3998691208864336e+00
1.9160493974508816e+14 1.5110535111517397e-03 2.4046738925589346e+00
1.9164920345183762e+14 1.4917099985164559e-03 2.4093397388524753e+00
1.9169346715858709e+14 1.4721418394107089e-03 2.4138580027141354e+00
1.9173773086533656e+14 1.4523577337060437e-03 2.4182195729762599e+00
1.9178199457208603e+14 1.4323666449246335e-03 2.4224148521626927e+00
1.9182625827883550e+14 1.4121778085393894e-03 2.4264337219157519e+00
1.9187052198558497e+14 1.3918007412036784e-03 2.4302655058640652e+00
1.9191478569233444e+14 1.3712452509821518e-03 2.4338989297467304e+00
1.9195904939908391e+14 1.3505214486984160e-03 2.4373220786110381e+00
1.9200331310583334e+14 1.3296397605020520e-03 2.4405223508918117e+00
1.9204757681258281e+14 1.3086109417818658e-03 2.4434864091651809e+00
1.9209184051933228e+14 1.2874460925490288e-03 2.4462001273962080e+00
1.9213610422608175e+14 1.2661566744343353e-03 2.4486485344764941e+00
1.9218036793283122e+14 1.2447545294656565e-03 2.4508157538833792e+00
1.9222463163958069e+14 1.2232519007894568e-03 2.4526849392941683e+00
1.9226889534633016e+14 1.2016614555071445e-03 2.4542382060369903e+00
1.9231315905307962e+14 1.1799963098533600e-03 2.4554565582776062e+00
1.9235742275982909e+14 1.1582700568943001e-03 2.4563198119347822e+00
1.9240168646657856e+14 1.1364967970024244e-03 2.4568065133655739e+00
1.9244595017332803e+14 1.1146911713183672e-03 2.4568938540085230e+00
1.9249021388007750e+14 1.0928683984689355e-03 2.4565575812731582e+00
1.9253447758682697e+14 1.0710443147831995e-03 2.4557719062062069e+00
1.9257874129357644e+14 1.0492354182718823e-03 2.4545094086519570e+00
1.9262300500032591e+14 1.0274589166134958e-03 2.4527409409725101e+00
1.9266726870707538e+14 1.0057327794049599e-03 2.4504355317684015e+00
1.9271153241382484e+14 9.8407579485437226e-04 2.4475602915177030e+00
1.9275579612057431e+14 9.6250763111608553e-04 2.4440803226768830e+00
1.9280005982732378e+14 9.4104890235189914e-04 2.4399586375133415e+00
1.9284432353407325e+14 9.1972123951340073e-04 2.4351560878768161e+00
1.9288858724082269e+14 8.9854736571663620e-04 2.4296313121897803e+00
1.9293285094757216e+14 8.7755117590727135e-04 2.4233407063039150e+00
1.9297711465432162e+14 8.5675782021107276e-04 2.4162384264010535e+00
1.9302137836107109e+14 8.3619379012831417e-04 2.4082764339740361e+00
1.9306564206782056e+14 8.1588700624240249e-04 2.3994045950148672e+00
1.9310990577457003e+14 7.9586690564546379e-04 2.3895708478646713e+00
1.9315416948131950e+14 7.7616452658720839e-04 2.3787214567594588e+00
1.9319843318806897e+14 7.5681258710592024e-04 2.3668013707061575e+00
1.9324269689481844e+14 7.3784555338835532e-04 2.3537547099301013e+00
1.9328696060156791e+14 7.1929969253868012e-04 2.3395254043435560e+00
1.9333122430831738e+14 7.0121310309692001e-04 2.3240580099945678e+00
1.9337548801506684e+14 6.8362571528793304e-04 2.3072987296929619e+00
1.9341975172181631e+14 6.6657925143563960e-04 2.2891966623422784e+00
1.9346401542856578e+14 6.5011713557256150e-04 2.2697053008694583e+00
1.9350827913531525e+14 6.3428433993770736e-04 2.2487842903911393e+00
