["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(500, 3)
1.8974206202531647e+14 4.7622465309245472e-02 -1.1218082005636627e+00
1.8976234173802459e+14 4.7581318442859302e-02 -1.1153123390195088e+00
1.8978262145073269e+14 4.7539671393711493e-02 -1.1088180551093936e+00
1.8980290116344081e+14 4.7497525233210075e-02 -1.1023254685525219e+00
1.8982318087614894e+14 4.7454881100419642e-02 -1.0958346994369181e+00
1.8984346058885706e+14 4.7411740202120745e-02 -1.0893458682139125e+00
1.8986374030156516e+14 4.7368103812880313e-02 -1.0828590956925315e+00
1.8988402001427328e+14 4.7323973275103799e-02 -1.0763745030338263e+00
1.8990429972698141e+14 4.7279349999090517e-02 -1.0698922117452161e+00
1.8992457943968953e+14 4.7234235463079498e-02 -1.0634123436747267e+00
1.8994485915239762e+14 4.7188631213290602e-02 -1.0569350210049653e+00
1.8996513886510575e+14 4.7142538863966965e-02 -1.0504603662472156e+00
1.8998541857781388e+14 4.7095960097400281e-02 -1.0439885022354152e+00
1.9000569829052200e+14 4.7048896663965660e-02 -1.0375195521199132e+00
1.9002597800323009e+14 4.7001350382134266e-02 -1.0310536393611613e+00
1.9004625771593822e+14 4.6953323138499876e-02 -1.0245908877234360e+00
1.9006653742864634e+14 4.6904816887786832e-02 -1.0181314212681896e+00
1.9008681714135444e+14 4.6855833652854902e-02 -1.0116753643475254e+00
1.9010709685406256e+14 4.6806375524700329e-02 -1.0052228415973552e+00
1.9012737656677069e+14 4.6756444662457167e-02 -9.9877397793060052e-01
1.9014765627947881e+14 4.6706043293383619e-02 -9.9232889853004669e-01
1.9016793599218691e+14 4.6655173712845499e-02 -9.8588772884125142e-01
1.9018821570489503e+14 4.6603838284302319e-02 -9.7945059456518835e-01
1.9020849541760316e+14 4.6552039439274724e-02 -9.7301762165072803e-01
1.9022877513031128e+14 4.6499779677319636e-02 -9.6658893628706233e-01
1.9024905484301938e+14 4.6447061565989538e-02 -9.6016466489585806e-01
1.9026933455572750e+14 4.6393887740790271e-02 -9.5374493412324091e-01
1.9028961426843562e+14 4.6340260905134274e-02 -9.4732987083166020e-01
1.9030989398114372e+14 4.6286183830287611e-02 -9.4091960209154513e-01
1.9033017369385184e+14 4.6231659355307785e-02 -9.3451425517273867e-01
1.9035045340655997e+14 4.6176690386977137e-02 -9.2811395753567194e-01
1.9037073311926809e+14 4.6121279899735655e-02 -9.2171883682262268e-01
1.9039101283197619e+14 4.6065430935601517e-02 -9.1532902084833978e-01
1.9041129254468431e+14 4.6009146604083714e-02 -9.0894463759074162e-01
1.9043157225739244e+14 4.5952430082094944e-02 -9.0256581518128953e-01
1.9045185197010056e+14 4.5895284613857452e-02 -8.9619268189524193e-01
1.9047213168280866e+14 4.5837713510797296e-02 -8.8982536614149421e-01
1.9049241139551678e+14 4.5779720151432765e-02 -8.8346399645216223e-01
1.9051269110822491e+14 4.5721307981264427e-02 -8.7710870147222730e-01
1.9053297082093303e+14 4.5662480512646979e-02 -8.7075960994850077e-01
1.9055325053364112e+14 4.5603241324665408e-02 -8.6441685071869756e-01
1.9057353024634925e+14 4.5543594062993832e-02 -8.5808055269983474e-01
1.9059380995905738e+14 4.5483542439753347e-02 -8.5175084487682773e-01
1.9061408967176547e+14 4.5423090233366777e-02 -8.4542785629038675e-01
1.9063436938447359e+14 4.5362241288394937e-02 -8.3911171602483869e-01
1.9065464909718172e+14 4.5300999515372850e-02 -8.3280255319552909e-01
1.9067492880988984e+14 4.5239368890640043e-02 -8.2650049693609362e-01
1.9069520852259794e+14 4.5177353456165040e-02 -8.2020567638523878e-01
1.9071548823530606e+14 4.5114957319344076e-02 -8.1391822067309250e-01
1.9073576794801419e+14 4.5052184652821403e-02 -8.0763825890765961e-01
1.9075604766072231e+14 4.4989039694274501e-02 -8.0136592016044395e-01
1.9077632737343041e+14 4.4925526746214112e-02 -7.9510133345213785e-01
